# Yale Bright Star Catalogue (BSC5), Hoffleit & Warren 1991, ADC/CDS V/50.
# Trimmed for the Simathon 02 demo. Source: tdc-www.harvard.edu/catalogs/bsc5.dat.gz
# ra_deg,dec_deg,vmag,b_v,dist_pc   (dist_pc = 0 means no usable parallax)
14.00625,-11.26667,5.310,1.520,111.1
13.98125,-27.77556,6.100,1.670,0.0
14.18833,38.49944,3.870,0.130,25.6
13.75125,-69.52694,5.450,1.090,28.6
14.30167,23.41750,4.420,0.940,111.1
14.41542,45.83972,6.120,1.020,0.0
14.62958,66.35222,5.970,-0.020,0.0
14.45917,28.99222,5.420,1.080,0.0
14.55917,33.95083,5.980,1.000,0.0
14.47708,13.69583,6.320,0.890,0.0
14.57875,21.40444,6.370,0.090,111.1
15.12917,70.98306,6.390,0.130,0.0
14.68292,-11.38000,5.610,0.970,0.0
14.65167,-29.35750,4.310,-0.160,0.0
14.59333,-60.69639,6.230,0.100,0.0
15.01417,44.71111,6.840,0.000,200.0
15.01500,44.71333,6.040,-0.010,200.0
14.95708,6.48306,6.110,1.670,0.0
17.18625,86.25694,4.250,1.210,0.0
23.46000,89.01556,6.460,0.110,0.0
15.57667,51.03500,6.470,0.000,0.0
15.32625,-38.91667,5.590,1.180,29.4
15.75625,47.37611,6.450,0.250,83.3
15.72625,41.34500,5.980,0.160,0.0
15.70458,31.80444,5.500,-0.050,0.0
15.90417,61.07500,5.920,0.490,0.0
15.61000,-31.55194,5.500,0.080,0.0
15.73583,7.89000,4.280,0.960,37.0
15.50750,-57.00250,6.110,0.940,0.0
15.76083,-4.83667,5.430,1.110,0.0
16.08167,61.58028,5.840,0.540,0.0
16.01000,52.50222,5.990,1.470,0.0
15.70500,-46.39750,5.360,0.900,40.0
15.82333,-29.52583,6.290,0.930,0.0
15.95417,1.36667,6.040,0.270,41.7
16.19500,51.01000,6.540,-0.080,0.0
16.11500,29.65861,6.190,0.430,0.0
15.67875,-65.45611,6.210,1.640,0.0
16.15167,39.99111,6.720,0.310,0.0
19.05625,87.14528,6.250,1.120,90.9
16.21917,5.65639,6.000,1.510,0.0
16.27250,14.94611,5.680,0.410,0.0
16.59500,62.76167,6.540,0.190,0.0
16.42042,21.47333,5.340,-0.030,62.5
16.42375,21.46528,5.560,-0.070,62.5
17.30125,80.01167,6.290,0.000,0.0
16.45500,4.90833,6.350,0.380,0.0
16.46417,4.90944,7.250,0.490,0.0
16.40333,-9.97917,6.120,1.010,0.0
16.75083,56.93500,6.430,1.180,0.0
16.52125,-9.83944,5.580,0.010,0.0
16.78958,53.49833,6.380,0.000,0.0
16.64000,12.95611,6.120,0.960,0.0
16.53208,-23.99250,6.140,1.090,0.0
17.06833,54.92028,5.170,0.690,7.4
16.52083,-46.71861,3.310,0.890,47.6
16.61042,-35.66083,6.610,0.140,0.0
17.00375,43.94194,5.030,0.110,32.3
16.80458,-23.99639,6.370,0.230,0.0
17.13875,58.26361,5.790,-0.010,0.0
17.00542,32.01222,6.250,0.400,0.0
16.98833,20.73917,5.550,0.130,0.0
16.94250,-9.78556,5.820,0.430,0.0
